Indicator Name,Indicator Code,Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Austria,AUT,,5.537979317,2.648675113,4.138267582,6.124353738,3.480174918,5.642861411,3.008047798,4.472312782,6.275867166,5.672735993,5.114968677,6.20786096,4.890435437,3.942138139,-0.363735695,4.578445378,5.008630605,-0.14612204,5.456115822,1.783669846,-0.144177788,1.946999268,2.952814899,0.060678087,2.456274807,2.316620218,1.346385317,3.135779002,3.887074779,4.345641539,3.441627414,2.093524731,0.52680946,2.402118767,2.667983664,2.466643934,2.308910875,3.785542748,3.539127804,3.667588836,0.857402601,1.693729863,0.865919899,2.589579854,2.400671933,3.669790293,3.705948764,1.396153597,-3.809960964,2.314672923,3.107411283
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Azerbaijan,AZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7,-22.6,-23.1,-19.7,-11.8,1.3,5.8,10,7.4,11.1,9.9,10.6,11.2,10.2,26.4,34.5,25.049,10.8,9.3,5,1
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,"Bahamas, The",BHS,,10.66709879,10.45197086,10.52405825,10.50156613,10.42559636,9.071928067,9.598116159,8.42176423,8.981661051,-5.649649859,1.62650988,-3.497336204,7.567567568,-16.75422933,-14.80312426,5.185185185,9.154929577,14.17951865,26.13929595,6.495280366,-9.226405267,6.698898545,3.59705136,14.17115069,4.829180077,1.796999968,2.984518884,2.309708309,6.727328385,-1.596249254,-4.181783464,-3.825582741,0.307806453,3.148916321,4.378750977,4.223530213,2.062240199,4.716473825,7.144129932,4.1492464,2.625627121,2.704629513,-1.264744629,0.882884233,3.39529267,2.516863841,1.446522215,-2.323937248,-4.859965496,0.178735484,1.628838991
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Bahrain,BHR,,,,,,,,,,,,,,,,,,,,,,-5.316696284,-7.556217507,6.376377312,5.003644224,-4.758267151,1.18299553,10.39900691,6.999993825,0.364005338,4.43799733,11.22999972,6.689996479,12.87000742,-0.250001,3.929992241,4.110005383,3.09299925,4.790002365,4.3000008,5.29999345,4.6,5.26,7.2,5.6,7.8,6.7,8.34,6.3,3.1,4.5,
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Bangladesh,BGD,,6.058160818,5.453030984,-0.455894298,10.95278855,1.606258229,2.566812,-1.875863927,9.489454022,1.220857907,5.619852302,-5.479483036,-13.97372869,3.32568019,9.591956304,-4.088214092,5.661361201,2.673056044,7.073837739,4.801634599,0.819141865,3.801998047,2.376466818,4.016088042,5.180672299,3.223280624,4.248570449,3.73226373,2.159202308,2.612351812,5.941307144,3.339355537,5.039133121,4.57437555,4.084703532,4.92505218,4.621967972,5.387551729,5.227531388,4.869230207,5.94450677,5.274014114,4.415410923,5.255994272,6.2705029,5.955478473,6.629337175,6.427842521,6.190431553,5.741158626,6.069339864,6.662288049
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Barbados,BRB,,7.696529798,9.060758599,-5.078421075,5.004875747,11.4348435,4.00337126,10.63613614,6.921821318,7.518404794,9.509402995,3.912722436,1.273800672,1.340700424,-4.650841244,4.005149295,-0.082528397,4.377159725,6.132133198,7.666497018,4.73168673,-3.206614983,-5.009107468,0.17977373,3.361642173,0.509259259,9.431141409,1.020726894,6.25,5.039215686,-4.806791861,-2.912053247,-4.978795395,0.988418782,3.974816249,1.490133032,1.834015519,6.394727115,4.11236353,2.592656313,2.31177435,-5.054046632,-3.545464627,2.007990962,3.685849147,3.182437534,3.419221671,0.477682124,0.18000001,-5.300000023,,
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Belarus,BLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.2,-9.6,-7.6,-11.7,-10.4,2.8,11.4,8.4,3.4,5.8,4.725306006,5.045267318,7.043192675,11.44974293,9.440903631,9.997986694,8.647315659,10.24824592,0.163535159,7.7,5.3
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Belgium,BEL,,4.978423063,5.212003509,4.351584282,6.956684733,3.56065984,3.155894982,3.868146947,4.194129625,6.629799795,5.772759817,3.985827344,5.295604404,6.381702095,4.56525808,-1.965941582,5.652745879,0.626154801,2.841896578,2.341073035,4.444054043,-0.279283619,0.594986945,0.311842729,2.466382659,1.651792843,1.822762128,2.306659429,4.7232089,3.469166813,3.137402455,1.833074297,1.53065481,-0.961873091,3.226971469,2.384757222,1.424414966,3.734871266,1.928914976,3.539694667,3.669781186,0.807692688,1.359885979,0.806597263,3.26743855,1.759701594,2.718122644,2.919766442,0.969643562,-2.800848811,2.237754851,1.919555471
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Belize,BLZ,,4.892276993,4.892658575,4.956423171,4.9998659,4.930533994,4.770873316,4.913124555,7.367218238,5.106383948,4.807692871,3.959442092,10.21829871,5.351874273,13.55999616,3.592820475,-0.034006186,6.496595744,7.920797204,7.517015518,15.16653087,1.29063344,-0.283154178,-2.106015231,1.957944359,1.066854714,4.574247496,11.21578844,9.237592471,13.09084029,10.62857555,10.49704514,12.03575736,6.276565634,0.157937823,0.643967584,1.428722652,3.545183788,3.740955126,8.780368083,13.03876739,4.957173674,5.098747523,9.321356964,4.620540646,3.027989343,4.653047808,1.340362177,3.491610966,0,2.9,2
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Benin,BEN,,3.141280442,-3.426409805,4.730027938,6.650759127,5.293862825,3.575862755,1.078398678,3.842335612,2.877497991,2.097757581,-1.496841845,6.426367548,3.706165308,3.339312175,-4.895345432,0.884356313,4.983663734,1.255078016,6.535747414,6.781763875,9.954231179,2.235066324,-4.34782272,7.92983957,7.530324837,2.171141589,-1.500002935,3.405245278,-2.854160484,3.21318828,4.72250936,4.009980077,3.519343057,4.372455552,4.60426161,5.547403338,6.148070522,4.54074841,4.697226938,5.8,5,4.5,3.9,3.1,2.9,4.099997316,4.6,5.1,3.8,3,3.099988999
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Bermuda,BMU,,4.68,4.47,1.07,11.11,4.76,14.36363636,13.27503975,2.105263158,3.436426117,6.312292359,3.4375,1.812688822,1.483679525,0.877192982,3.768115942,8.938547486,5.897435897,1.452784504,2.14797136,7.943925234,2.380952381,-5.285412262,2.008928571,0.481400438,-2.003484321,6.666666667,3.75,4.0562249,0.443844076,0.019212296,-3.534383404,-0.059737157,3.008567444,0.599613153,4.399147856,2.600476046,4.6,3.9,3.382648714,9.317155577,6.520286115,-1.518770043,3.474806035,2.595088372,1.976036588,5.620910927,2.931940035,0.933619209,-4.826052066,-1.899617174,
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Bhutan,BTN,,,,,,,,,,,,,,,,,,,,,,,8.19512508,7.336645719,7.616132578,4.349021804,7.954016584,20.22879796,15.07912126,6.193808212,9.097718802,4.896039661,2.082960362,3.1923737,3.51051213,6.037041491,6.193996054,5.396671012,5.569651658,6.866220901,7.517147791,6.987055134,8.916218775,8.57862967,7.966329145,8.773446328,6.849357759,17.92568395,4.669293849,6.728383555,7.443435541,8.41
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Bolivia,BOL,,2.07998367,5.570224684,6.420701221,4.794559731,5.62501857,6.497295789,6.908867793,-12.16902788,3.096013144,-0.494821089,5.063336435,7.967485213,5.739161523,2.939567816,7.311017727,4.614567486,4.971215655,2.052694572,0.133344044,-1.371772908,0.275616374,-3.938737928,-4.0421214,-0.200671851,-1.676387517,-2.573877379,2.463479559,2.909505435,3.790128399,4.635787902,5.266522073,1.646500041,4.269295333,4.667266268,4.678276905,4.361340311,4.954208776,5.029354636,0.426885364,2.507810988,1.683799034,2.485565815,2.711339832,4.173295561,4.4214331,4.797008739,4.564384483,6.14849781,3.35699943,4.126723356,5.089106626
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Bosnia and Herzegovina,BIH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.80000117,88.95766405,34.38957514,15.59999615,9.6,5.5,4.4,5.3,4,6.1,5,6.2,6.838,5.42,-2.91,0.8,1.710474817
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Botswana,BWA,,6.343279638,6.666668754,5.921048191,6.832297147,5.81395647,6.344015676,5.924563067,10.56705697,15.12340198,17.12026819,25.82110974,26.36193986,21.30318256,8.797796637,8.446249342,10.64737719,12.01204026,14.33280148,12.14858885,11.98690135,9.064857594,12.16553166,13.14672945,8.545383486,7.12527126,8.172924066,11.88192812,19.4499696,13.05940607,6.772822009,7.458708767,2.917070335,1.916107351,3.627915946,4.403849208,5.552162009,10.16965501,10.57330467,5.06558409,5.88557942,3.544101928,9.009374011,6.275074843,5.977857304,1.642293696,5.135704524,4.808605657,2.94054921,-4.825140663,7.014443318,5.052950888
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Brazil,BRA,,10.27591158,5.216059385,0.874672609,3.485582301,3.053487905,4.150360219,4.915265688,11.42728239,9.735826862,8.769947471,11.29508684,12.05280227,13.97869164,9.042120308,5.209075902,9.790410162,4.606318063,3.231709573,6.766284961,9.110960152,-4.393357194,0.580245554,-3.40979348,5.269143156,7.945861746,7.988295109,3.599629457,-0.10267271,3.279458852,-4.3,1.512067461,-0.466914924,4.665150948,5.334359877,4.416831993,2.15,3.374938815,0.037879685,0.250857887,4.308208022,1.3103698,2.658326818,1.149135078,5.712292376,3.159673613,3.95536037,6.09154395,5.171269363,-0.32824804,7.533615453,2.732509243
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Brunei Darussalam,BRN,,,,,,,,,,,,,,,,0.355463823,20.15539305,10.91669836,6.775834476,22.56242807,-6.996702553,-19.82671582,3.95665544,0.501464954,0.599876661,-1.490748997,-2.715469691,2.009129765,1.097366321,-1.074177451,1.089420416,3.145941252,4.758580079,0.304573971,3.145396702,4.478707096,2.878318295,-1.471171731,-0.558508393,3.052156067,2.84942187,2.744041404,3.872097238,2.903955035,0.504317943,0.38750691,4.397720432,0.15458146,-1.938880222,-1.765371494,2.598965911,
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Bulgaria,BGR,,,,,,,,,,,,,,,,,,,,,,4.900161619,2.334565588,3.430306207,3.396443551,2.683440659,4.207602111,6.054513852,10.94469186,-3.289881992,-9.117377193,-8.445355216,-7.272387858,-1.480214784,1.81801096,2.860189461,-9.030054663,-1.645530387,4.861361965,1.964141473,5.725970033,4.151430199,4.650199935,5.505369309,6.748294215,6.35830682,6.562304264,6.4,6.2,-5.5,0.4,1.7
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Burkina Faso,BFA,,4.043927975,6.128798784,-1.268016366,2.282819232,3.764545368,0.537613084,8.823314987,3.070773927,2.026081041,0.117019619,1.413339875,2.311498733,0.449327408,8.286426487,2.998382892,8.534894964,0.370353562,4.607825009,3.664621514,0.796878866,4.255303401,9.562196614,0.345984738,-1.77869668,8.517364998,7.955362723,-0.236336791,5.795592967,2.150267271,-0.60292848,9.069984461,0.232710762,3.461384933,1.315007275,5.71637387,11.01474387,6.316834731,7.307719635,7.404178965,1.847021335,6.648547524,4.699522799,8.044413083,4.634713935,8.651617105,6.767809454,3.606206563,5.800005065,2.965439145,7.886165764,4.162817939
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Burundi,BDI,,-13.74613506,9.063157933,4.135407415,6.273037921,3.96722561,4.612992882,13.8215186,-0.297883668,-1.459541142,21.32567072,2.746828712,-6.403964923,6.889050724,-0.726839563,0.697920233,7.942660978,11.46945305,-0.940575994,1.66495495,0.991055731,12.16327556,-1.053599817,3.715326989,0.15554401,11.78318018,3.250180461,5.503096116,5.031024363,1.349502233,3.499822139,4.996836457,1.009998365,-6.24,-3.83,-7.92,-8,-1.59,4.75,-1.01,-0.856864057,2.055807106,4.446519421,-1.223727958,4.833657761,0.9,5.384657398,4.785831951,5.048118782,3.468425427,3.785902542,4.191625678
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Cambodia,KHM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.099464507,6.442902796,5.412339378,5.619792924,5.009032751,11.90975793,8.766785439,8.038631629,6.687880848,8.505898789,10.34052873,13.25008556,10.77108716,10.21257181,6.691577475,0.086696959,5.963078575,6.931007476
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Cameroon,CMR,,1.183680812,3.041559056,3.742550319,3.547159694,2.026053717,4.614955617,-10.91206559,6.346323851,4.901479527,3.092068232,3.479707819,2.67384329,5.355680778,10.73426226,11.24505877,-5.495138397,13.73987152,22.00300492,6.035118773,-1.965291668,17.08268225,7.516202606,6.866830566,7.474572543,8.063161672,6.77166308,-2.146650212,-7.823631974,-1.819120514,-6.105697646,-3.808599371,-3.100003211,-3.199997355,-2.500000928,3.299996146,5.000004424,5.099998069,5.039252944,4.393810764,4.199996332,4.514271087,4.009044571,4.030993315,3.701854054,2.296654441,3.222146585,3.5,2.9,2,3.2,3.8
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Canada,CAN,,3.163291684,7.116779267,5.181776082,6.699456682,6.636545139,6.584965408,2.91531036,5.295341864,5.260000826,2.583421925,4.117657622,5.44585558,6.964202918,3.690987646,1.822973134,5.199302437,3.4582306,3.953591265,3.804922881,2.162616899,3.503119534,-2.859005473,2.717806163,5.814468359,4.780075557,2.420782761,4.253218954,4.974472448,2.619402966,0.193024882,-2.092163263,0.875192284,2.338542772,4.804210097,2.808429062,1.618799885,4.225916502,4.097432461,5.531762882,5.233288646,1.78380122,2.924529481,1.88107433,3.119976979,3.019057345,2.823032729,2.200021356,0.688726873,-2.76976818,3.214948408,2.459641205
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Cape Verde,CPV,,,,,,,,,,,,,,,,,,,,,,,5.4,10.8,10.39,7.9,2.5,2.61881904,5.996873668,5.698931939,0.703949941,1.412752558,3.261195806,7.058092451,6.929803209,7.495447223,4.002845431,5.400178126,7.4,8.600000831,16.8465071,6.137614948,5.282493368,4.683227309,4.28,6.520892274,10.14176376,8.649161162,6.197626719,3.7126421,5.209635058,5.045877228
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Cayman Islands,CYM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.305202786,,,,,,,,,,,,,,,,,
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Central African Republic,CAF,,4.953452742,-3.713640129,-0.707243874,2.080361136,0.947568972,0.644999279,4.676514621,1.404196747,7.091406507,2.332966044,1.130127023,-0.000782878,1.888768908,6.339140562,0.405003868,5.432442637,3.806281066,1.209223472,-2.465071271,-4.47859983,-1.544507459,7.715724617,-8.126447755,9.481555061,3.927278814,3.577966826,-4.939033173,1.710272957,1.977314589,-2.147642437,-0.552426922,-6.424094388,0.335145801,4.899999089,7.200002317,-4.000001351,5.300002639,4.699993861,3.600002936,2.299999692,0.260982304,-0.582589006,-7.6,1,2.4,3.8,3.7,2,1.7,3.3,3.1
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Chad,TCD,,1.397743665,5.36011612,-1.599454024,-2.5109396,0.606227781,-1.807092387,0.767201385,-0.457218865,6.881310223,1.85965647,-2.247626367,1.149616093,-8.380883012,4.961852586,9.01026731,2.980765263,2.234624853,-0.469634184,-21.44108769,-6.04767074,1.042918094,5.346608999,15.67871779,2.048898905,21.79277354,-4.081667518,-2.3888085,15.48235907,4.884735107,-4.178472377,8.535137171,8.001443342,-15.70983704,10.13688763,1.236549313,2.214473037,5.653392324,6.951579919,-0.682850222,-0.879681021,11.65813465,8.491209824,14.72166701,33.62937185,17.33253374,0.2,0.2,-0.4,-1.2,13,3.1
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Channel Islands,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.770263675,5.826641469,-1.51296126,-1.632206598,-3.202156942,0.224197396,1.377734157,4.882299364,5.898329661,,,,
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Chile,CHL,,4.049930947,5.193079542,6.116564835,2.667871666,0.417175016,10.00160606,3.640783319,3.751679076,3.471317248,2.122519603,9.017964832,-0.819195515,-4.941100699,2.493844515,-11.36278013,3.406383573,8.697440297,7.462926811,8.682319916,8.148606529,4.737311069,-10.32323245,-3.786572328,7.973341573,7.119228429,5.5963533,6.594214893,7.311201451,10.56032523,3.697579901,7.969988372,12.27793063,6.986286682,5.708119098,10.62757722,7.413491523,6.605579633,3.230878709,-0.760854812,4.489075523,3.377039177,2.184110474,3.916912908,6.041086578,4.271734528,5.694335721,5.160825562,3.292455343,-1.036431788,6.09520564,5.988226585
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,China,CHN,,-27.10188176,-6.105338669,10.34201254,15.83695777,16.36301774,10.7,-5.7,-4.1,16.9,19.4,7,3.8,7.9,2.3,8.7,-1.6,7.6,11.7,7.6,7.8,5.2,9.1,10.9,15.2,13.5,8.8,11.6,11.3,4.1,3.8,9.2,14.2,14,13.1,10.9,10,9.3,7.8,7.6,8.4,8.3,9.1,10,10.1,11.3,12.7,14.2,9.6,9.2,10.4,9.1
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Colombia,COL,,5.265372382,5.466500282,2.904114678,6.602341595,3.012487197,5.32236813,4.190635447,6.427444336,6.520935067,6.956515099,5.951223099,7.673414682,6.72748176,5.742522109,2.248047059,4.817187269,4.148013439,8.463449999,5.382853373,4.098199161,2.263216774,0.948480319,1.584376304,3.355101016,3.088264652,5.83829241,5.371506806,4.059821002,3.417426656,6.042038478,2.277231497,5.032677497,2.365650574,5.835811494,5.202437593,2.055854712,3.430293678,0.56978409,-4.204015244,4.420359693,1.678243586,2.503617795,3.91859564,5.332339018,4.706555934,6.697515258,6.900627655,3.546804886,1.651549245,4.001185174,5.9288612
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Comoros,COM,,,,,,,,,,,,,,,,,,,,,,3.864921187,6.383623358,4.821027945,4.110264301,2.280371848,1.867211828,1.637991109,2.687518695,-3.180675333,5.091392704,-5.395598907,8.530923433,3.005937478,-5.276682038,3.610129478,-1.291668416,4.030340682,1.282662443,1.924123666,1.417852661,3.329208572,4.149414597,2.474617737,-0.239934108,4.229885608,1.242150459,0.49099094,0.974927219,1.810339047,2.1,2.227203171
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,"Congo, Dem. Rep.",ZAR,,-10.85137608,21.20069751,5.213990135,-2.440223564,0.997348792,6.775485303,-0.985738663,4.332698465,9.328837438,-0.245056575,6.005018068,0.151135514,8.137275887,3.13058588,-4.981631005,-5.309002081,0.760793602,-5.345291528,0.430088261,2.194912924,2.350524075,-0.457677609,1.411703688,5.541074021,0.467850951,4.717209653,2.675642452,0.470381336,-1.266050636,-6.568310694,-8.421051499,-10.50000856,-13.46905054,-3.899996803,0.69999883,-1.023172642,-5.617046598,-1.624154046,-4.270140831,-6.900101756,-2.09987762,3.468384558,5.791419794,6.639888271,7.788041323,5.581257077,6.257754599,6.155043753,2.834384468,7.174203174,6.879666803
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,"Congo, Rep.",COG,,8.350726686,5.202308808,-4.029300418,3.816796258,3.676467752,1.358982467,2.116272053,7.631326245,7.54852521,6.35847016,7.753035879,8.617550834,8.231188946,7.885520809,7.731596849,0.916286735,-8.95342797,6.35974699,9.813224746,17.6366055,17.61972245,23.59769997,5.853962838,6.976131051,-1.185660856,-6.861526427,0.18937663,1.76626344,2.599876513,1.000003566,2.4,2.6,-1,-5.5,4,4.3,-0.6,3.7,-2.6,7.6,3.8,4.6,0.8,3.5,7.8,6.137450835,-1.59,5.57,7.46887803,8.751351325,4.459590514
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Costa Rica,CRI,,-0.955940459,8.148320027,4.784711557,4.14905212,9.829617287,7.870708087,5.650125921,8.385017768,5.577729809,7.503134343,6.778505427,8.178045133,7.708915812,5.54489999,2.10007105,5.517564403,8.904474432,6.267686825,4.939123955,0.751895403,-2.261655507,-7.285568847,2.862992702,6.201703583,1.041412257,5.784949502,6.875439671,3.819392956,5.065672853,3.904917803,2.571915791,9.152016353,7.413686649,4.7295961,3.920883459,0.886593069,5.578187036,8.397846216,8.222189751,1.800831039,1.076400936,2.902183542,6.404513257,4.259452556,5.886377766,8.779636494,7.93534249,2.722159263,-1.006603197,4.67987932,4.163959423
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Cote d'Ivoire,CIV,,9.932555161,1.226994487,14.49035586,17.61308783,-3.109654277,11.57735969,4.598151783,12.54824864,9.53921877,10.37503185,9.45663766,4.236625014,5.939197535,4.327380858,8.252886371,12.91639744,7.314459156,10.90945365,2.394407465,-10.95769727,3.500498908,0.200822352,-3.900240443,-2.701261433,4.501223174,3.259348769,-0.34897291,1.136483963,2.948004944,-1.095908412,0.040925169,-0.244560612,-0.192485101,0.811206687,7.125744722,7.729327422,5.719058597,4.752475248,1.586447579,-3.700204692,-0.021230471,-1.430808153,-1.555364663,1.793855153,1.255967959,0.683970709,1.714671732,2.33,3.8,2.4,-4.7
