Indicator Name,Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
GDP per capita (current US$),"Bahamas, The",BHS,1550.323279,1651.401909,1752.851781,1866.992057,1994.36129,2144.693191,2322.737595,2556.600812,2804.404636,3215.193295,3179.032512,3297.771387,3322.481251,3696.622227,3416.697732,3156.668608,3328.926397,3617.636613,4131.550473,5533.278625,6340.455689,6624.715404,7167.965702,7698.493445,8878.246674,9894.138655,10345.66431,11157.88729,11389.64238,12166.67792,12361.007,11927.23648,11698.48097,11422.19645,11832.57935,12256.32117,12722.21576,17273.06879,18424.15107,20476.93103,21258.29243,21606.50319,22753.34613,22402.62604,22540.62255,24130.35528,24580.14108,25296.38966,24715.65451,22807.43473,22664.85649,22431.02634
GDP per capita (current US$),Bahrain,BHR,,,,,,,,,,,,,,,,,,,,,8583.987311,9320.241008,9499.445798,9476.02143,9647.493522,8758.953952,7084.667656,7603.008061,8010.6487,8082.854522,8581.587773,9110.637728,9142.006081,9768.289341,10209.53141,10462.8733,10613.52073,10707.17116,10117.09221,10564.06535,12489.46775,12340.56156,13224.70011,15062.02382,16725.72208,18570.7344,19539.98959,19955.10335,20813.13752,16517.77183,18184.19751,
GDP per capita (current US$),Bangladesh,BGD,85.32391469,93.48817671,95.91688812,97.65080106,96.05762209,102.2054825,107.9014684,117.5566938,117.4771528,129.3787575,134.4582252,128.9894117,91.85036568,117.0264652,179.0963102,274.7989254,139.9391335,130.316924,174.8389393,198.9458399,224.6793774,238.4421272,212.397434,196.1563882,218.974773,234.2044658,223.1492015,244.0888662,256.2278074,261.2467403,286.2427691,287.2580878,287.672525,294.4329053,293.4899228,322.9273746,339.0849875,345.8254406,353.2898259,359.1882207,363.6399273,356.1180112,354.3039819,380.2787218,407.9878558,428.7534812,434.8408455,475.2496513,546.846854,607.7649413,674.9316307,734.9952538
GDP per capita (current US$),Barbados,BRB,378.5588318,402.5341031,417.006135,467.1731386,462.2766029,487.4508337,523.9581821,579.8595428,579.3884561,649.6757933,760.7096604,850.6065639,967.0125338,1172.094135,1392.990732,1637.145672,1768.077875,2003.482484,2233.040342,2701.773359,3458.409513,3792.106733,3944.873556,4168.230032,4521.058844,4709.476279,5148.34562,5645.571849,5981.243309,6589.334055,6591.249863,6480.357143,6083.037069,6266.975826,6575.397718,7057.831694,7504.234897,8270.322055,8891.221273,9253.343828,9565.401228,9523.726038,9211.257728,10003.67393,10461.31278,11108.9341,11771.84556,12551.45093,13484.51507,13181.34157,15034.88444,13452.58739
GDP per capita (current US$),Belarus,BLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1704.740304,1747.438671,1666.227513,1590.035409,1460.017544,1370.67271,1452.447002,1396.502166,1511.770268,1209.614881,1273.049124,1239.167298,1470.52145,1805.296111,2355.50519,3090.359635,3797.78257,4666.636982,6328.211117,5182.630404,5818.854859,5820.346673
GDP per capita (current US$),Belgium,BEL,1273.691659,1350.197673,1438.523233,1535.023729,1701.846276,1835.594766,1957.62608,2086.636005,2222.361511,2458.08182,2732.224225,3045.402163,3784.992768,4841.307064,5664.005657,6619.807302,7154.884072,8324.373084,10164.51999,11666.85557,12707.42027,10493.50036,9230.126481,8738.556775,8354.325824,8644.302473,12021.90541,14951.61675,16191.57935,16323.91663,20349.62487,20785.53888,23088.12465,22012.69312,23913.88524,28067.96974,27154.33688,24532.02692,25051.33996,24886.86566,22697.0123,22600.91615,24465.3335,30038.98346,34706.6939,36011.4694,37918.7732,43255.26648,47375.81585,43849.41467,42832.59415,46469.2345
GDP per capita (current US$),Belize,BLZ,308.333205,317.9586198,326.1731098,333.5211028,346.0450342,371.9270396,401.3393402,418.0532282,387.8679846,400.9089963,443.7163197,486.4179322,536.1599733,628.4050927,816.4524185,917.5685814,737.4205835,873.5733571,985.2688785,1067.794801,1333.90411,1286.919403,1165.107808,1203.929013,1301.993252,1258.423586,1337.147887,1578.481826,1751.390434,1982.259913,2185.449651,2292.374879,2603.737078,2730.534894,2752.418063,2863.888092,2888.60961,2844.339657,2888.354183,3013.607543,3330.954622,3388.421125,3516.879348,3610.519139,3737.805047,3820.68063,4025.085538,4098.721207,4233.157405,4048.619448,4064.403829,4133.482894
GDP per capita (current US$),Benin,BEN,93.48303512,96.14708185,95.13537847,100.6881869,105.3560254,110.5892957,113.9275174,113.3356366,119.3679938,118.4976866,116.5315977,114.4590965,137.98858,166.1639923,178.6019652,212.702716,214.2146043,224.4659203,271.0342854,337.2954724,389.1664594,348.1370139,332.6206299,279.5694944,260.9754219,252.578553,314.0481707,357.4070759,360.5138224,324.6646585,386.5469384,380.5798684,317.9698016,398.118776,273.485526,355.5434653,379.2636172,360.1736025,379.3135738,377.1819222,345.9503552,352.8741361,404.6358346,496.5799582,547.1000615,561.6453188,601.5009283,683.6521297,799.7559729,765.5536147,741.0655283,801.6404808
GDP per capita (current US$),Bermuda,BMU,1902.402119,1961.538169,2020.385965,2020.265248,2199.727007,2282.216546,2630.850466,2982.749704,2830.188679,3053.703704,3387.272727,3866.300366,4343.173432,5009.29368,5853.932584,6509.433962,7261.278195,8370.786517,8876.865672,9613.3829,11357.40681,13586.39765,14333.94219,16112.31884,17728.41669,18562.50057,20623.90214,22430.79529,24107.32593,25192.95356,26320.66116,26801.63882,27539.34479,29841.96616,30459.38114,32913.28934,43614.72492,47380.08078,50495.93548,53619.8871,56042.17391,58887.728,62694.71338,66452.77778,70848.38863,76543.01887,84862.52351,92110.125,95170.21807,90161.14907,89739.30912,
GDP per capita (current US$),Bhutan,BTN,,,,,,,,,,,,,,,,,,,,,,310.0467987,318.0827652,335.0698277,338.2630799,340.4300956,372.6730446,436.1534637,484.0094098,472.539897,503.6473464,438.2618501,436.1914535,425.6779454,483.8088638,552.4239786,578.1949371,649.0914506,658.1095809,714.2801028,748.8837299,774.8909464,837.0524902,978.5121341,1074.584881,1242.040308,1330.515907,1736.972047,1792.907154,1772.101824,2088.488843,2287.708773
GDP per capita (current US$),Bolivia,BOL,167.8472954,178.5686111,190.9451482,201.0544653,221.487805,242.1797739,258.8825559,275.8989171,226.0009971,234.2858933,241.23191,253.6030362,284.141942,278.4739259,451.9152418,505.045981,560.1660677,646.1111413,734.8493431,844.7958062,847.708834,1076.874384,1000.871925,949.9125023,1058.082016,902.6380292,650.1600324,694.7228431,722.5013419,724.5968883,731.0371022,784.178113,809.2527329,803.3818473,818.8705672,898.8397621,968.4888854,1015.555564,1066.020152,1017.970653,1010.907367,960.4568503,914.2820539,916.7965142,976.6818232,1044.009674,1230.441154,1386.434364,1733.646069,1774.195208,1978.854327,2421.348925
GDP per capita (current US$),Bosnia and Herzegovina,BIH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.7356609,560.1795003,842.8075719,1090.979047,1182.862776,1301.071889,1490.642834,1533.73081,1761.502191,2212.700605,2650.592891,2895.543038,3279.072872,4043.524302,4913.217707,4534.056981,4427.347194,4820.666029
GDP per capita (current US$),Botswana,BWA,57.959034,61.35883592,64.72200437,67.60008003,72.11098785,77.08463045,84.28571649,93.25998065,102.1993622,115.8566774,138.9676444,177.4277315,223.4465105,319.1268383,386.4800963,431.8217439,435.5240127,508.7249991,639.6204182,854.4091012,1065.233066,1039.295303,948.4949418,1059.043369,1084.527444,942.2783774,1139.892229,1558.121848,2032.022888,2298.587804,2742.81361,2769.103531,2830.129329,2762.41353,2806.180054,3010.607278,2956.281649,3119.278524,3061.207573,3394.882412,3203.999676,3381.378046,3368.892865,4418.659107,5425.130963,5467.610139,5921.218827,6422.185056,6877.041097,5822.096565,7426.628358,8680.312867
GDP per capita (current US$),Brazil,BRA,208.4362263,203.2240286,257.845901,289.061242,258.6126863,258.2094763,312.0155145,343.4651427,370.6538984,399.6554099,440.5531567,499.816052,580.5790212,767.8924703,994.6321366,1143.0855,1377.900582,1552.96204,1728.977727,1892.155542,1930.991698,2115.453937,2209.018755,1558.378338,1567.129404,1636.316224,1928.358897,2074.062799,2286.955907,2893.460725,3086.87702,2677.266955,2526.596184,2791.968684,3426.840162,4751.065263,5109.348611,5220.856542,4980.980645,3413.259971,3696.146772,3129.755456,2812.334223,3041.677796,3609.875507,4743.264112,5793.400957,7197.031306,8628.952841,8391.668592,10992.94249,12593.89293
GDP per capita (current US$),Brunei Darussalam,BRN,,,,,,1145.718591,1274.929371,1275.883246,1409.85453,1349.726136,1431.632925,1507.695437,1974.16957,3017.053554,7155.320188,7460.674387,8719.311288,10200.57788,11001.31852,15322.37442,26037.11018,22345.6905,21183.46325,18562.60147,17758.15762,16085.88251,10469.23412,11888.05972,11291.06629,12180.01562,13963.517,14272.47791,15680.81812,14964.06746,14494.10624,16345.96406,17213.35598,17055.7582,12975.46323,14390.55979,18350.13062,16752.27782,17106.51551,18801.25661,22116.83668,26248.41398,30975.36166,32442.93016,37414.31282,27390.05003,31007.94593,
GDP per capita (current US$),Bulgaria,BGR,,,,,,,,,,,,,,,,,,,,,2261.417284,2255.761258,2220.823183,1897.078564,1943.06261,1959.938778,2261.757713,3168.865125,2561.108705,2449.800833,2377.335786,1267.734414,1214.484933,1278.517392,1149.377993,1554.720855,1063.075366,1209.502723,1581.824485,1611.129028,1579.348216,1729.191145,2030.78851,2641.787702,3249.287444,3733.263161,4313.430635,5498.035686,6798.134903,6403.147686,6334.618296,7158.119096
GDP per capita (current US$),Burkina Faso,BFA,67.68671232,70.65825499,75.41125885,77.07772522,78.97692804,79.45388569,80.28191476,81.98114588,82.68328392,84.07519321,78.56181267,80.91290016,95.65654212,109.471914,119.3434274,146.0608409,148.4494622,168.1931015,214.4549679,248.2581228,267.4028993,240.3543679,231.6809597,206.1160501,183.3313289,190.0297341,242.8727488,275.3407024,296.0115622,288.1684271,332.6159372,327.2488905,227.5551425,230.4676709,182.2230623,222.5476795,235.3096256,216.5768393,241.3623932,252.2370048,212.3753864,222.3857061,252.7495748,318.7901981,370.4917793,384.7395561,399.7120816,448.5591797,538.2199842,522.266727,535.886652,600.3833547
GDP per capita (current US$),Burundi,BDI,66.65537258,67.82734709,70.1059195,75.1084589,82.66037644,49.48698823,50.51025471,53.35879799,53.77717112,54.89041417,69.08570955,71.22590773,68.99403677,84.48711943,95.00179184,114.3860864,119.8179038,143.3671297,156.0629677,194.9326431,222.6942699,227.6198492,230.5103837,238.4004781,210.2513876,237.0799483,239.9515309,219.0046913,203.416886,203.7387939,202.0988647,203.9469532,185.6083106,158.197583,153.7329344,164.3616428,141.5305116,157.3885577,143.6118988,128.5997279,131.0463341,126.5119287,117.1909879,111.0017381,127.6857731,154.0737912,165.5435912,171.1709116,204.0306803,222.1533331,241.7868565,271.2449551
GDP per capita (current US$),Cambodia,KHM,117.2661478,115.5342012,115.8382896,124.837917,130.8343471,141.428805,144.8873772,148.4568963,160.0788065,143.7054752,103.5459151,137.7816685,71.02273125,98.13829846,82.21278022,,,,,,,,,,,,,,,,,,,240.4089699,256.9892733,308.0968608,306.0248868,293.5264208,260.3364074,287.722788,293.5684654,314.5181583,333.5114129,357.661682,404.5663964,471.1219389,538.2130032,631.986488,748.9036877,744.1699611,795.166471,900.0451765
GDP per capita (current US$),Cameroon,CMR,114.3892526,119.0117778,123.8328931,125.2861228,132.3954689,134.5973848,137.7609998,147.2077968,161.9246547,172.8065779,169.5472832,175.7290345,198.460118,237.4170595,296.1306823,351.2116099,381.1022851,404.5807563,514.0711227,657.228042,739.9516465,814.1867267,758.7291246,743.4017623,763.5394582,774.630276,980.4520761,1102.51047,1086.961618,941.253338,915.5031942,992.3753938,884.6346727,1022.330494,678.4894416,626.4717331,681.1797116,672.5404753,642.9963943,684.3135812,642.6117788,598.402842,663.0742142,811.6255995,919.0277851,944.9841704,1000.478623,1127.208533,1265.31506,1156.813076,1147.021568,1271.31254
GDP per capita (current US$),Canada,CAN,2294.568814,2231.293824,2255.230044,2354.839122,2529.518179,2739.585849,3010.705908,3173.076194,3411.060154,3703.990405,4047.268455,4503.180745,5048.481943,5764.261107,6915.889343,7354.268358,8624.613972,8731.678917,8931.293455,9831.079371,10933.73156,12075.0246,12217.37343,13113.16893,13506.37154,13711.5156,14076.75234,15876.84241,18522.65837,20289.76637,20968.04115,21234.37582,20320.47371,19549.0171,19390.48537,20117.09961,20684.94578,21260.28681,20390.38845,21681.37931,23559.50369,23017.36875,23425.22643,27335.30883,31011.91122,35087.89259,39249.99822,43245.58992,45099.61337,39655.79404,46212.02947,50345.43489
GDP per capita (current US$),Cape Verde,CPV,,,,,,,,,,,,,,,,,,,,,474.0819789,460.6906807,456.2526639,439.0356659,409.2852959,419.2880417,572.9132537,700.2291064,779.9990579,780.5388463,881.4530674,899.2620907,979.2556787,1308.40774,1055.776673,1233.457217,1242.012133,1188.222271,1239.095068,1380.030429,1233.257523,1264.950161,1371.592541,1769.367573,1980.184638,2055.427986,2316.469284,2755.993921,3204.39076,3256.226332,3344.87221,3797.829001
GDP per capita (current US$),Cayman Islands,CYM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29693.92424,,,,,,,,,,,,,,,
GDP per capita (current US$),Central African Republic,CAF,74.59592291,80.52031012,79.96762501,81.58738412,87.85834775,90.64154491,93.38078001,94.97717936,109.5472658,105.0292601,102.9269232,107.3504451,120.9548062,139.9727063,142.4097311,187.7013708,218.8507595,240.6279594,282.8666516,316.5888525,350.5628735,296.9567848,310.3527984,265.0500254,249.3631741,329.262594,416.3798062,440.6901795,456.9088212,442.2734869,506.8565609,466.964158,464.8852492,410.2657447,262.6668077,337.1409336,314.1323786,287.9613014,294.1913062,289.4384988,259.1882527,256.8380555,272.1103359,292.8508137,321.2377179,336.0098572,361.3107752,407.682027,467.9098875,458.5672053,450.9713345,482.7161317
GDP per capita (current US$),Chad,TCD,106.1723804,110.7055212,116.0225857,118.021065,121.8672806,125.8609243,128.2725466,130.7725509,130.0944148,132.0432498,127.7545329,133.2373244,152.3948599,164.7102957,162.1889012,210.1570202,206.1489415,218.2501778,254.8699409,225.2306168,226.8302437,188.3420103,175.0986412,170.4757118,183.4090709,200.5447949,201.3070122,212.685196,262.6071639,246.0440273,289.2273836,302.8742986,294.598589,222.2844613,173.869056,206.6151787,222.6534085,207.380048,226.8776495,193.3964317,168.4499977,200.6756907,225.0967092,298.9621933,465.9700534,541.7935129,604.8151928,676.4757469,784.4311575,647.7725255,760.7122667,823.022414
GDP per capita (current US$),Channel Islands,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41333.3429,43308.69638,44310.90232,42692.60105,45446.70839,49790.47479,57809.33986,59337.8241,64644.8668,76413.04835,,,,
GDP per capita (current US$),Chile,CHL,550.443578,599.5354833,683.553204,664.2271509,685.1432313,699.3962234,792.5830789,765.0261266,767.3055314,870.1675998,937.7232208,1096.547262,1161.855325,1623.245878,1514.182146,693.5944041,932.4558861,1246.218237,1417.062291,1881.290637,2466.478126,2876.595129,2111.463786,1687.694734,1615.084968,1361.667289,1439.608277,1669.639221,1935.138706,2190.864897,2393.03578,2712.287868,3250.967523,3423.982861,3890.980936,4951.567941,5178.744068,5580.106075,5277.793874,4792.371966,4877.522032,4394.220342,4261.622005,4636.000513,5929.301714,7548.616804,9391.741251,10405.62212,10694.87287,10178.89078,12639.5243,14394.44593
GDP per capita (current US$),China,CHN,92.01122923,75.87257116,69.78987327,73.68876603,83.93043528,97.47009798,103.1811715,95.49668825,90.37133078,98.8898853,111.8227255,117.1815906,130.1112674,155.078442,157.9993781,175.865754,162.9205149,182.678568,154.9720597,182.2847006,193.0220513,195.3054051,201.4447468,223.251945,248.2889082,291.7744907,279.1851067,249.4127911,280.9678615,307.4899926,314.4306005,329.7490887,362.808414,373.8000229,469.2131942,604.2280606,703.1207994,774.467161,820.8630768,864.7303144,949.1780621,1041.637704,1135.44795,1273.640743,1490.380056,1731.125235,2069.343631,2651.260121,3413.588661,3748.934494,4432.963557,5429.606221
GDP per capita (current US$),Colombia,COL,252.4848808,276.1452146,292.5345797,276.571714,332.5301746,312.0463225,285.4248982,291.2678499,292.6192655,308.1994226,337.4794774,357.720206,387.4280998,450.5071761,528.1459066,546.6737548,625.737715,776.0604927,906.0635697,1063.528716,1242.821541,1323.903639,1386.552351,1348.091755,1302.919843,1163.397875,1140.764726,1163.170254,1228.723044,1214.468499,1212.957119,1218.303891,1428.504788,1587.725226,2282.350312,2537.690248,2617.980325,2823.543494,2561.031495,2204.099977,2523.975779,2442.827789,2391.274573,2274.43654,2764.804377,3404.336912,3724.331964,4681.186045,5433.516914,5172.910415,6237.515632,7067.440693
GDP per capita (current US$),Comoros,COM,,,,,,,,,,,,,,,,,,,,,375.5536217,335.325399,303.8711731,306.574751,286.7513865,296.8067583,409.9167104,482.8760971,497.4516681,464.9883798,571.0133842,550.2347796,579.2838807,559.8644279,385.0737227,468.9593107,454.5664008,407.7628027,403.5444828,406.2700651,358.954574,381.1065325,423.4251599,532.5564634,579.0611737,601.9472532,610.3575813,685.1574678,760.5632647,747.9124803,736.4376709,809.2310581
GDP per capita (current US$),"Congo, Dem. Rep.",ZAR,223.0237102,198.6477836,229.9935522,369.8178793,168.8889233,230.5095019,251.1399882,182.1444197,204.3777092,255.5253194,240.6711781,268.3975792,288.0694061,357.2077202,423.5403332,439.0548313,401.8323422,498.9583945,603.0038696,573.9075179,532.7766629,451.3085233,478.1458979,375.1271382,260.4693248,231.7680439,253.2670014,232.6828506,260.891336,256.9029194,256.8177372,240.0653632,208.0484938,260.6458119,136.4677514,128.0639028,127.4191393,131.3549251,131.2504768,97.28029263,86.76459563,92.0154875,105.6263494,104.8117041,116.7911285,125.2364434,149.3318651,164.776937,186.8803331,174.5055635,198.7321643,230.8559068
GDP per capita (current US$),"Congo, Rep.",COG,129.9915795,145.8753611,156.0073578,157.1084423,164.860451,170.0297905,184.4451454,193.2615252,200.0857775,204.6649805,204.9803269,232.6069892,288.9198293,370.3969088,388.0002379,493.3813708,471.1792491,464.1472854,517.8641807,686.305472,948.5711852,1076.480816,1132.813306,1067.6995,1084.677391,1038.310504,863.8689541,1043.918371,977.9253589,1027.77066,1171.565075,1110.403884,1163.890261,741.4103543,665.4437783,774.3230319,904.1256185,803.4743535,655.6563224,770.3991681,1026.826182,869.5820427,918.2294446,1038.838361,1349.084699,1722.812834,2130.66865,2250.217548,3091.232339,2434.009561,2970.116262,3562.541536
GDP per capita (current US$),Costa Rica,CRI,380.4460986,354.9437512,334.8856838,345.5124221,354.0745102,374.7158933,396.7006847,416.2795443,447.8451572,481.0230299,541.002813,577.5497924,648.6684609,782.7814354,833.5103646,957.0734337,1147.872836,1423.690081,1588.851073,1770.460099,2061.773735,1088.994529,1052.096748,1560.890326,1754.030939,1781.955444,1980.685051,2056.259095,2079.074971,2294.049461,2411.361105,2275.665759,2658.608444,2917.67773,3119.378567,3379.254563,3329.466419,3516.46142,3768.380529,4122.811078,4068.821351,4097.882662,4125.291706,4210.502813,4390.486349,4632.856909,5140.89222,5911.591508,6596.715372,6403.581949,7773.858272,8675.829662
GDP per capita (current US$),Cote d'Ivoire,CIV,150.1225868,163.663499,164.3238038,186.2842995,216.6522932,206.4078899,221.4570732,225.3689399,257.8005315,262.4099787,267.4524084,278.3133537,312.7090749,406.2381742,475.2072314,575.2851848,657.8195256,844.4419681,1017.248711,1124.873109,1196.876954,948.9918209,815.2473716,706.0900587,678.0578116,664.8700987,840.5132287,893.1142744,876.939705,806.3514769,862.459922,810.5020586,833.4458636,799.1966531,583.2507243,749.4693524,804.4640613,756.655358,805.0212395,773.0422725,628.2248275,624.2436783,668.5815143,787.0006001,873.0674803,908.023451,947.6878041,1061.616208,1233.159353,1190.787415,1161.249284,1194.598926
GDP per capita (current US$),Croatia,HRV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5184.552965,4025.822867,2299.659884,2349.250084,3135.136981,4721.697879,5193.904281,5140.349129,5577.96059,5067.558475,4861.67751,5191.901985,5974.075765,7689.956996,9237.116223,10090.36669,11228.62138,13376.00923,15767.08012,14322.86034,13773.59519,14488.32952
GDP per capita (current US$),Cuba,CUB,,,,,,,,,,,654.2265946,780.7889541,902.8437095,1090.297996,1226.592769,1382.831239,1447.688142,1477.643907,1841.687337,2007.766512,2029.396377,2043.163244,2115.324556,2231.944251,2403.555478,2276.399454,2385.624729,2458.259389,2648.820676,2580.291376,2709.985589,2282.48615,2058.886643,2072.82974,2622.4872,2791.414599,2284.850609,2307.635625,2333.025032,2562.732295,2752.552094,2844.059443,3005.735616,3203.194781,3400.347308,3789.166787,4681.892538,5200.561521,5396.885835,,,
